ticker,in_orats,in_polygon,source
MUST,0,1,polygon
MUU,1,0,orats
MUX,1,1,both
MV,1,0,orats
MVBF,1,1,both
MVC,1,0,orats
MVF,0,1,polygon
MVG,1,0,orats
MVIS,1,1,both
MVL,1,0,orats
MVLA,0,1,polygon
MVLAW,0,1,polygon
MVLL,1,0,orats
MVO,1,1,both
MVP,1,0,orats
MVPS,1,0,orats
MVR,1,0,orats
MVRL,0,1,polygon
MVSN,1,0,orats
MVSND,1,0,orats
MVST,1,1,both
MVSTW,0,1,polygon
MVT,0,1,polygon
MVV,1,1,both
MW,1,0,orats
MWA,1,1,both
MWE,1,0,orats
MWG,0,1,polygon
MWIV,1,0,orats
MWJ,1,0,orats
MWK,1,0,orats
MWN,1,0,orats
MWV,1,0,orats
MWW,1,0,orats
MWY,1,0,orats
MX,1,1,both
MXB,1,0,orats
MXC,0,1,polygon
MXCT,1,1,both
MXE,0,1,polygon
MXEA,1,0,orats
MXEF,1,0,orats
MXF,0,1,polygon
MXGL,1,0,orats
MXI,1,1,both
MXIM,1,0,orats
MXL,1,1,both
MXWL,1,0,orats
MXZ,1,0,orats
MY,1,0,orats
MYCC,1,0,orats
MYD,0,1,polygon
MYE,1,1,both
MYFW,0,1,polygon
MYGN,1,1,both
MYI,0,1,polygon
MYL,1,0,orats
MYLD,0,1,polygon
MYMD,1,1,both
MYN,0,1,polygon
MYNA,0,1,polygon
MYND,0,1,polygon
MYNZ,0,1,polygon
MYO,1,1,both
MYOK,1,0,orats
MYOV,1,0,orats
MYP,1,0,orats
MYPS,1,1,both
MYPSW,0,1,polygon
MYRG,1,1,both
MYRX,1,0,orats
MYSZ,0,1,polygon
MYTE,1,1,both
MYY,1,1,both
MZOR,1,0,orats
MZTI,1,0,orats
MZZ,1,1,both
N,1,0,orats
NAAS,1,1,both
NABI,1,0,orats
NABL,1,1,both
NAC,0,1,polygon
NACP,0,1,polygon
NAD,0,1,polygon
NADL,1,0,orats
NADLQ,1,0,orats
NAFC,1,0,orats
NAGE,1,0,orats
NAII,0,1,polygon
NAIL,1,1,both
NAK,1,1,both
NAKA,1,0,orats
NAKD,1,0,orats
NAL,1,0,orats
NAME,1,0,orats
NAMS,1,1,both
NAMSW,0,1,polygon
NAN,1,1,both
NANC,1,1,both
NANO,1,0,orats
NANR,1,1,both
NANX,1,0,orats
NAO,1,0,orats
NAOV,0,1,polygon
NAP,1,0,orats
NAPA,1,1,both
NAPR,0,1,polygon
NAPS,1,0,orats
NARA,1,0,orats
NARI,1,1,both
NASA,1,0,orats
NAT,1,1,both
NATH,0,1,polygon
NATI,1,0,orats
NATL,1,1,both
NATR,1,1,both
NAUT,1,1,both
NAV,1,0,orats
NAVB,1,0,orats
NAVG,1,0,orats
NAVI,1,1,both
NAVN,1,0,orats
NAVR,1,0,orats
NAVZ,1,0,orats
NAZ,0,1,polygon
NB,1,1,both
NBB,0,1,polygon
NBBK,1,1,both
NBCE,0,1,polygon
NBCM,0,1,polygon
NBCT,0,1,polygon
NBDS,0,1,polygon
NBEV,1,0,orats
NBG,1,0,orats
NBGGY,1,0,orats
NBH,0,1,polygon
NBHC,1,1,both
NBI,1,0,orats
NBIG,1,0,orats
NBIS,1,0,orats
NBIX,1,1,both
NBIZ,1,0,orats
NBL,1,0,orats
NBLX,1,0,orats
NBN,0,1,polygon
NBP,1,0,orats
NBR,1,1,both
NBRV,1,0,orats
NBS,1,0,orats
NBSE,1,1,both
NBST,0,1,polygon
NBSTW,0,1,polygon
NBTB,1,1,both
NBTX,0,1,polygon
NBXG,0,1,polygon
NBY,1,1,both
NC,0,1,polygon
NCA,0,1,polygon
NCAC,0,1,polygon
NCACU,0,1,polygon
NCACW,0,1,polygon
NCBS,1,0,orats
NCC,1,0,orats
NCI,1,0,orats
NCIQ,1,0,orats
NCL,0,1,polygon
NCLH,1,1,both
NCMI,1,1,both
NCNA,0,1,polygon
NCNC,0,1,polygon
NCNCW,0,1,polygon
NCNO,1,1,both
NCOC,1,0,orats
NCPL,0,1,polygon
NCPLW,0,1,polygon
NCQ,1,0,orats
NCR,1,0,orats
NCRA,0,1,polygon
NCS,1,0,orats
NCSM,0,1,polygon
NCT,1,0,orats
NCTY,1,1,both
NCV,0,1,polygon
NCVpA,0,1,polygon
NCX,1,0,orats
NCZ,0,1,polygon
NCZpA,0,1,polygon
NDAQ,1,1,both
NDE,1,0,orats
NDIA,0,1,polygon
NDIV,0,1,polygon
NDJI,0,1,polygon
NDLS,1,1,both
NDMO,0,1,polygon
NDN,1,0,orats
NDO,1,0,orats
NDP,0,1,polygon
NDRA,0,1,polygon
NDRM,1,0,orats
NDRO,1,0,orats
NDSN,1,1,both
NDVG,0,1,polygon
NDX,1,0,orats
NDZ,1,0,orats
NE,1,1,both
NE.WS,0,1,polygon
NE.WS.A,0,1,polygon
NEA,0,1,polygon
NEAR,1,1,both
NEBC,1,0,orats
NEBX,1,0,orats
NECB,1,1,both
NED,1,0,orats
NEE,1,1,both
NEEpN,0,1,polygon
NEEpR,0,1,polygon
NEFF,1,0,orats
NEGG,1,1,both
NEM,1,1,both
NEMG,1,0,orats
NEN,0,1,polygon
NEO,1,1,both
NEOG,1,1,both
NEOL,1,0,orats
NEON,1,1,both
NEOP,1,0,orats
NEOS,1,0,orats
NEOV,1,1,both
NEOVW,0,1,polygon
NEP,1,1,both
NEPH,0,1,polygon
NEPT,1,1,both
NERD,1,1,both
NERV,1,1,both
NES,1,0,orats
NESC,1,0,orats
NESR,1,0,orats
NET,1,1,both
NETC,1,0,orats
NETD,0,1,polygon
NETDU,0,1,polygon
NETDW,0,1,polygon
NETG,1,0,orats
NETI,1,0,orats
NETL,1,1,both
NETX,1,0,orats
NETZ,1,1,both
NEU,1,1,both
NEW,1,0,orats
NEWCQ,1,0,orats
NEWM,1,0,orats
NEWN,1,0,orats
NEWP,1,1,both
NEWR,1,0,orats
NEWT,1,1,both
NEWTI,0,1,polygon
NEWTL,0,1,polygon
NEWTZ,0,1,polygon
NEX,1,0,orats
NEXA,1,1,both
NEXC,1,0,orats
NEXI,0,1,polygon
NEXN,1,0,orats
NEXT,1,1,both
NFBK,1,1,both
NFE,1,1,both
NFG,1,1,both
NFGC,1,1,both
NFI,1,0,orats
NFJ,0,1,polygon
NFLD,1,0,orats
NFLP,1,1,both
NFLT,0,1,polygon
NFLU,1,0,orats
NFLW,1,0,orats
NFLX,1,1,both
NFLY,1,1,both
NFO,1,0,orats
NFP,1,0,orats
NFQ,1,0,orats
NFRA,1,1,both
NFS,1,0,orats
NFTG,0,1,polygon
NFTY,1,1,both
NFTZ,1,0,orats
NFX,1,0,orats
NFYS,0,1,polygon
NFYS.WS,0,1,polygon
NG,1,1,both
NGA,1,0,orats
NGAC,1,0,orats
NGAS,1,0,orats
NGCA,1,0,orats
NGD,1,1,both
NGE,0,1,polygon
NGEN,1,0,orats
NGG,1,1,both
NGHC,1,0,orats
NGL,1,1,both
NGLS,1,0,orats
NGLpB,0,1,polygon
NGLpC,0,1,polygon
NGM,1,1,both
NGMS,1,1,both
NGNE,1,1,both
NGPC,1,0,orats
NGPS,1,0,orats
NGS,1,1,both
NGVC,1,1,both
NGVT,1,1,both
NH,1,0,orats
NHC,1,1,both
NHI,1,1,both
NHIC,1,0,orats
NHP,1,0,orats
NHS,0,1,polygon
NHTC,1,1,both
NHWK,1,1,both
NI,1,1,both
NIB,1,0,orats
NIC,1,1,both
NICE,1,1,both
NICK,0,1,polygon
NIE,0,1,polygon
NIFE,1,0,orats
NIHD,1,0,orats
NIHDQ,1,0,orats
NIKL,0,1,polygon
NILE,1,0,orats
