ticker,in_orats,in_polygon,source
A,1,1,both
AA,1,1,both
AAA,0,1,polygon
AAAP,1,0,orats
AAAU,1,1,both
AABA,1,0,orats
AAC,1,0,orats
AACC,1,0,orats
AACG,0,1,polygon
AACI,0,1,polygon
AACIW,0,1,polygon
AACQ,1,0,orats
AACT,1,1,both
AACT.U,0,1,polygon
AACT.WS,0,1,polygon
AADI,1,1,both
AADR,0,1,polygon
AAGR,0,1,polygon
AAGRW,0,1,polygon
AAI,1,0,orats
AAIC,1,0,orats
AAIN,0,1,polygon
AAL,1,1,both
AAMC,0,1,polygon
AAME,0,1,polygon
AAMI,1,0,orats
AAMRQ,1,0,orats
AAN,1,1,both
AAOI,1,1,both
AAON,1,1,both
AAOX,1,0,orats
AAP,1,1,both
AAPB,1,1,both
AAPD,1,1,both
AAPL,1,1,both
AAPU,1,1,both
AAPW,1,0,orats
AAPX,1,0,orats
AAPY,1,0,orats
AARD,1,0,orats
AAT,1,1,both
AATI,1,0,orats
AAU,1,1,both
AAUK,1,0,orats
AAUKD,1,0,orats
AAUKY,1,0,orats
AAV,1,0,orats
AAVL,1,0,orats
AAVVF,1,0,orats
AAWW,1,0,orats
AAXJ,1,1,both
AAXN,1,0,orats
AB,1,1,both
ABAT,1,1,both
ABAX,1,0,orats
ABB,1,0,orats
ABBI,1,0,orats
ABBNY,1,0,orats
ABBV,1,1,both
ABC,1,0,orats
ABCB,1,1,both
ABCL,1,1,both
ABCM,1,0,orats
ABCO,1,0,orats
ABCS,0,1,polygon
ABD,1,0,orats
ABDC,1,0,orats
ABEO,1,1,both
ABEQ,0,1,polygon
ABEV,1,1,both
ABFL,1,0,orats
ABFS,1,0,orats
ABG,1,1,both
ABH,1,0,orats
ABI,1,0,orats
ABIO,1,1,both
ABK,1,0,orats
ABKFQ,1,0,orats
ABL,1,1,both
ABLLL,0,1,polygon
ABLLW,0,1,polygon
ABLV,0,1,polygon
ABLVW,0,1,polygon
ABLX,1,0,orats
ABM,1,1,both
ABMD,1,0,orats
ABN,1,0,orats
ABNB,1,1,both
ABNG,1,0,orats
ABNY,1,0,orats
ABNYY,1,0,orats
ABOS,1,1,both
ABP,1,0,orats
ABR,1,1,both
ABRpD,0,1,polygon
ABRpE,0,1,polygon
ABRpF,0,1,polygon
ABSI,1,1,both
ABST,1,0,orats
ABT,1,1,both
ABTC,1,0,orats
ABTL,1,0,orats
ABTS,1,1,both
ABTX,1,0,orats
ABUS,1,1,both
ABV,1,0,orats
ABVC,1,1,both
ABVE,1,0,orats
ABVT,1,0,orats
ABVX,1,1,both
ABWTQ,1,0,orats
ABX,1,0,orats
ABY,1,0,orats
AC,0,1,polygon
ACA,1,1,both
ACAB,0,1,polygon
ACAC,1,1,both
ACAD,1,1,both
ACAH,0,1,polygon
ACAHU,0,1,polygon
ACAHW,0,1,polygon
ACAS,1,0,orats
ACAT,1,0,orats
ACAX,0,1,polygon
ACAXR,0,1,polygon
ACB,1,1,both
ACBAW,0,1,polygon
ACC,1,0,orats
ACCD,1,1,both
ACCL,1,0,orats
ACCO,1,1,both
ACDC,1,1,both
ACE,1,0,orats
ACEL,1,1,both
ACER,1,0,orats
ACES,1,1,both
ACET,1,1,both
ACEV,1,0,orats
ACF,1,0,orats
ACFN,1,0,orats
ACGL,1,1,both
ACGLN,0,1,polygon
ACGLO,0,1,polygon
ACGY,1,0,orats
ACH,1,0,orats
ACHC,1,1,both
ACHI,1,0,orats
ACHL,0,1,polygon
ACHN,1,0,orats
ACHR,1,1,both
ACHR.WS,0,1,polygon
ACHV,1,1,both
ACI,1,1,both
ACIA,1,0,orats
ACIC,1,1,both
ACIIQ,1,0,orats
ACIO,1,1,both
ACIU,1,1,both
ACIW,1,1,both
ACL,1,0,orats
ACLI,1,0,orats
ACLID,1,0,orats
ACLS,1,1,both
ACLX,1,1,both
ACM,1,1,both
ACMP,1,0,orats
ACMR,1,1,both
ACN,1,1,both
ACNB,1,1,both
ACNT,1,1,both
ACO,1,0,orats
ACOM,1,0,orats
ACON,0,1,polygon
ACONW,0,1,polygon
ACOR,1,1,both
ACP,0,1,polygon
ACPI,1,0,orats
ACPIQ,1,0,orats
ACPW,1,0,orats
ACPpA,0,1,polygon
ACR,1,1,both
ACRE,1,1,both
ACRS,1,1,both
ACRV,0,1,polygon
ACRX,1,1,both
ACRpC,0,1,polygon
ACRpD,0,1,polygon
ACS,1,0,orats
ACSF,1,0,orats
ACST,0,1,polygon
ACT,1,1,both
ACTA,1,0,orats
ACTC,1,0,orats
ACTG,1,1,both
ACTL,1,0,orats
ACTS,1,0,orats
ACTU,1,0,orats
ACTV,1,1,both
ACU,0,1,polygon
ACUR,1,0,orats
ACUS,1,0,orats
ACV,1,1,both
ACVA,1,1,both
ACVF,0,1,polygon
ACW,1,0,orats
ACWI,1,1,both
ACWV,1,1,both
ACWX,1,1,both
ACXM,1,0,orats
ACXP,1,1,both
AD,1,0,orats
ADAG,0,1,polygon
ADAM,1,0,orats
ADAP,1,1,both
ADAT,1,0,orats
ADBE,1,1,both
ADBG,1,0,orats
ADBL,1,0,orats
ADC,1,1,both
ADCT,1,1,both
ADCpA,0,1,polygon
ADD,0,1,polygon
ADEA,1,1,both
ADEP,1,0,orats
ADES,1,1,both
ADFI,0,1,polygon
ADGI,1,0,orats
ADHD,1,0,orats
ADI,1,1,both
ADIL,1,1,both
ADIV,0,1,polygon
ADK,1,0,orats
ADLR,1,0,orats
ADM,1,1,both
ADMA,1,1,both
ADME,0,1,polygon
ADMP,1,0,orats
ADMS,1,0,orats
ADN,1,1,both
ADNC,1,0,orats
ADNT,1,1,both
ADNWW,0,1,polygon
ADOC,0,1,polygon
ADOCR,0,1,polygon
ADOCW,0,1,polygon
ADP,1,1,both
ADPT,1,1,both
ADPTQ,1,0,orats
ADPV,0,1,polygon
ADRA,1,0,orats
ADRE,1,0,orats
ADRO,1,0,orats
ADRT,0,1,polygon
ADS,1,0,orats
ADSE,1,1,both
ADSEW,0,1,polygon
ADSK,1,1,both
ADSW,1,0,orats
ADT,1,1,both
ADTH,1,1,both
ADTHW,0,1,polygon
ADTN,1,1,both
ADTX,1,1,both
ADUR,1,0,orats
ADUS,1,1,both
ADV,1,1,both
ADVBQ,1,0,orats
ADVE,0,1,polygon
ADVM,1,1,both
ADVNB,1,0,orats
ADVS,1,0,orats
ADVWW,0,1,polygon
ADX,0,1,polygon
ADXN,0,1,polygon
ADXS,1,0,orats
ADY,1,0,orats
AE,0,1,polygon
AEA,1,0,orats
AEAE,0,1,polygon
AEC,1,0,orats
AEE,1,1,both
AEF,0,1,polygon
AEFC,0,1,polygon
AEG,1,1,both
AEGN,1,0,orats
AEGR,1,0,orats
AEHL,0,1,polygon
AEHR,1,1,both
AEI,0,1,polygon
AEIS,1,1,both
AEL,1,1,both
AELpA,0,1,polygon
AELpB,0,1,polygon
AEM,1,1,both
AEMB,0,1,polygon
AEMD,1,1,both
AENT,0,1,polygon
AENTW,0,1,polygon
AEO,1,1,both
AEON,0,1,polygon
AEON.WS,0,1,polygon
AEOS,1,0,orats
AEP,1,1,both
AER,1,1,both
AERG,1,0,orats
AERI,1,0,orats
AERL,1,0,orats
AERO,1,0,orats
AERT,0,1,polygon
AES,1,1,both
AESC,0,1,polygon
AESI,1,1,both
AESR,0,1,polygon
AET,1,0,orats
AETH,1,1,both
AEVA,1,1,both
AEVA.WS,0,1,polygon
AEXA,1,0,orats
AEY,0,1,polygon
AEYE,1,1,both
AEZ,1,0,orats
AEZS,1,1,both
AF,1,0,orats
AFAM,1,0,orats
AFAR,0,1,polygon
AFARW,0,1,polygon
AFB,0,1,polygon
AFBI,0,1,polygon
AFCE,1,0,orats
AFCG,1,1,both
AFCO,1,0,orats
AFFX,1,0,orats
AFFY,1,0,orats
AFG,1,1,both
AFGB,0,1,polygon
AFGC,0,1,polygon
AFGD,0,1,polygon
AFGE,0,1,polygon
AFH,1,0,orats
AFI,1,0,orats
AFIB,1,1,both
AFIF,0,1,polygon
AFIIQ,1,0,orats
AFIN,1,0,orats
AFJKU,0,1,polygon
AFK,1,1,both
AFL,1,1,both
AFLG,0,1,polygon
AFMC,0,1,polygon
AFMD,1,1,both
AFN,1,0,orats
AFOP,1,0,orats
AFR,1,0,orats
AFRI,0,1,polygon
AFRIW,0,1,polygon
AFRM,1,1,both
AFRU,1,0,orats
AFSI,1,0,orats
AFSM,0,1,polygon
AFT,0,1,polygon
AFTY,1,1,both
AFYA,1,1,both
AG,1,1,both
AGAE,0,1,polygon
AGAM,1,0,orats
AGBA,0,1,polygon
AGC,1,0,orats
AGCB,1,0,orats
AGCO,1,1,both
AGD,0,1,polygon
AGE,1,1,both
AGEN,1,1,both
AGFS,1,0,orats
AGFY,1,1,both
AGG,1,1,both
AGGH,0,1,polygon
AGGY,1,1,both
AGH,1,0,orats
AGI,1,1,both
AGIH,0,1,polygon
AGII,1,0,orats
AGIL,1,0,orats
AGIO,1,1,both
AGIX,1,0,orats
AGIXQ,1,0,orats
AGL,1,1,both
AGLE,1,0,orats
AGM,1,1,both
AGM.A,0,1,polygon
AGMH,0,1,polygon
AGMpC,0,1,polygon
AGMpD,0,1,polygon
AGMpE,0,1,polygon
AGMpF,0,1,polygon
AGMpG,0,1,polygon
AGN,1,0,orats
AGNC,1,1,both
AGNCL,0,1,polygon
AGNCM,0,1,polygon
AGNCN,0,1,polygon
AGNCO,0,1,polygon
AGNCP,0,1,polygon
AGNG,1,1,both
AGNT,1,0,orats
AGO,1,1,both
AGOX,0,1,polygon
AGP,1,0,orats
AGQ,1,1,both
AGQI,0,1,polygon
AGR,1,1,both
AGRH,0,1,polygon
AGRI,1,1,both
AGRIW,0,1,polygon
AGRO,1,1,both
AGRX,1,1,both
AGS,1,1,both
AGTC,1,0,orats
AGTI,1,1,both
AGU,1,0,orats
AGX,1,1,both
AGYS,1,1,both
AGZ,1,1,both
AGZD,0,1,polygon
AH,1,0,orats
AHAC,1,0,orats
AHC,1,0,orats
AHCO,1,1,both
AHD,1,0,orats
AHG,1,1,both
AHGP,1,0,orats
AHH,1,1,both
AHHpA,0,1,polygon
AHI,0,1,polygon
AHL,1,0,orats
AHLT,0,1,polygon
AHLpC,0,1,polygon
AHLpD,0,1,polygon
AHLpE,0,1,polygon
AHM,1,0,orats
AHMIQ,1,0,orats
AHO,1,0,orats
AHONY,1,0,orats
AHOY,1,0,orats
AHOw,1,0,orats
AHP,1,0,orats
AHR,1,0,orats
AHRT,1,0,orats
AHS,1,0,orats
AHT,1,1,both
AHTpD,0,1,polygon
AHTpF,0,1,polygon
AHTpG,0,1,polygon
AHTpH,0,1,polygon
AHTpI,0,1,polygon
AHYB,0,1,polygon
AI,1,1,both
AIA,1,1,both
AIB,1,1,both
AIBU,1,0,orats
AIBYY,1,0,orats
AIC,0,1,polygon
AIDB,0,1,polygon
AIEQ,1,1,both
AIF,0,1,polygon
AIFD,1,0,orats
AIFU,1,0,orats
AIG,1,1,both
AIGpA,0,1,polygon
AIH,0,1,polygon
AIHS,0,1,polygon
AIIQ,1,0,orats
AIM,0,1,polygon
AIMAU,0,1,polygon
AIMAW,0,1,polygon
AIMBU,0,1,polygon
AIMC,1,0,orats
AIMD,0,1,polygon
AIMDW,0,1,polygon
AIMT,1,0,orats
AIN,1,1,both
AINC,0,1,polygon
AINV,1,0,orats
AIO,0,1,polygon
AIOT,1,0,orats
AIP,1,1,both
AIPC,1,0,orats
AIPI,1,0,orats
AIQ,1,1,both
AIR,1,1,both
AIRC,1,1,both
AIRE,0,1,polygon
AIRG,1,1,both
AIRI,0,1,polygon
AIRJ,1,0,orats
AIRL,0,1,polygon
AIRM,1,0,orats
AIRN,1,0,orats
AIRO,1,0,orats
AIRR,1,1,both
AIRS,1,1,both
AIRT,0,1,polygon
AIRTP,0,1,polygon
AIRV,1,0,orats
AIS,1,0,orats
AISP,1,1,both
AISPW,0,1,polygon
AIT,1,1,both
AITR,0,1,polygon
AITRR,0,1,polygon
AITRU,0,1,polygon
AIU,0,1,polygon
AIV,1,1,both
AIVC,1,0,orats
AIVI,1,1,both
AIVL,1,1,both
AIXG,1,0,orats
AIXI,0,1,polygon
AIYY,1,1,both
AIZ,1,1,both
AIZN,0,1,polygon
AJAN,0,1,polygon
AJAX,1,0,orats
AJG,1,1,both
AJRD,1,0,orats
AJX,1,1,both
AJXA,0,1,polygon
AKA,1,1,both
AKAM,1,1,both
AKAN,0,1,polygon
AKAO,1,0,orats
AKBA,1,1,both
AKCA,1,0,orats
AKG,1,0,orats
AKLI,1,1,both
AKNS,1,0,orats
AKO.A,0,1,polygon
AKO.B,0,1,polygon
AKR,1,1,both
AKRO,1,1,both
AKRX,1,0,orats
AKS,1,0,orats
AKTS,1,1,both
AKTX,0,1,polygon
AKUS,1,0,orats
AKYA,1,1,both
AL,1,1,both
ALAB,1,0,orats
ALAR,0,1,polygon
ALB,1,1,both
ALBG,1,0,orats
ALBO,1,0,orats
ALBT,0,1,polygon
ALC,1,1,both
ALCC,1,1,both
ALCE,0,1,polygon
ALCO,0,1,polygon
ALCY,0,1,polygon
ALCYU,0,1,polygon
ALD,1,0,orats
ALDN,1,0,orats
ALDR,1,0,orats
ALDW,1,0,orats
ALDX,1,1,both
ALE,1,1,both
ALEC,1,1,both
ALEX,1,1,both
ALFA,1,0,orats
ALG,1,1,both
ALGM,1,1,both
ALGN,1,1,both
ALGS,1,1,both
ALGT,1,1,both
ALH,1,0,orats
ALHC,1,1,both
ALIM,1,1,both
ALIT,1,1,both
ALJ,1,0,orats
ALK,1,1,both
ALKS,1,1,both
ALKT,1,1,both
ALL,1,1,both
ALLE,1,1,both
ALLG,1,1,both
ALLK,1,1,both
ALLO,1,1,both
ALLR,0,1,polygon
ALLT,1,1,both
ALLW,1,0,orats
ALLY,1,1,both
ALLpB,0,1,polygon
ALLpH,0,1,polygon
ALLpI,0,1,polygon
ALLpJ,0,1,polygon
ALM,1,0,orats
ALMS,1,0,orats
ALMU,1,0,orats
ALNT,1,1,both
ALNY,1,1,both
ALO,1,0,orats
ALOG,1,0,orats
ALOT,0,1,polygon
ALOY,1,0,orats
ALPN,1,1,both
ALPP,1,1,both
ALQA,1,0,orats
ALR,1,0,orats
ALRM,1,1,both
ALRN,0,1,polygon
ALRS,1,1,both
ALSAR,0,1,polygon
ALSK,1,0,orats
ALSN,1,1,both
ALT,1,1,both
ALTE,1,0,orats
ALTG,1,1,both
ALTGpA,0,1,polygon
ALTH,1,0,orats
ALTI,1,1,both
ALTL,1,1,both
ALTM,1,1,both
ALTO,1,1,both
ALTR,1,1,both
ALTS,1,0,orats
ALTU,1,1,both
ALTUQ,1,0,orats
ALTUW,0,1,polygon
ALTY,1,1,both
ALU,1,0,orats
ALUM,0,1,polygon
ALUR,1,1,both
ALUR.WS,0,1,polygon
ALUS,1,0,orats
ALV,1,1,both
ALVO,0,1,polygon
ALVOW,0,1,polygon
ALVR,1,1,both
ALX,0,1,polygon
ALXA,1,0,orats
ALXN,1,0,orats
ALXO,1,1,both
ALY,1,0,orats
ALYA,0,1,polygon
ALZN,1,1,both
ALpA,0,1,polygon
AM,1,1,both
AMAG,1,0,orats
AMAL,1,1,both
AMAM,1,1,both
AMAT,1,1,both
AMAX,0,1,polygon
AMB,1,0,orats
AMBA,1,1,both
AMBC,1,1,both
AMBI,0,1,polygon
AMBI.WS,0,1,polygon
AMBO,0,1,polygon
AMBP,1,1,both
AMBP.WS,0,1,polygon
AMBQ,1,0,orats
AMBR,1,0,orats
AMC,1,1,both
AMCC,1,0,orats
AMCCD,1,0,orats
AMCN,1,0,orats
AMCR,1,1,both
AMCS,1,0,orats
AMCX,1,1,both
AMD,1,1,both
AMDD,1,0,orats
AMDG,1,0,orats
AMDL,1,0,orats
AMDS,1,1,both
AMDW,1,0,orats
AMDY,1,1,both
AME,1,1,both
AMED,1,1,both
AMEH,1,1,both
AMFI,1,0,orats
AMFW,1,0,orats
AMG,1,1,both
AMGN,1,1,both
AMGP,1,0,orats
AMH,1,1,both
AMHpG,0,1,polygon
AMHpH,0,1,polygon
AMID,1,1,both
AMIS,1,0,orats
AMJ,1,1,both
AMK,1,1,both
AMKR,1,1,both
AMLI,0,1,polygon
AMLN,1,0,orats
AMLP,1,1,both
AMLX,1,1,both
AMMD,1,0,orats
AMN,1,1,both
AMNB,1,1,both
AMOM,1,1,both
AMOT,1,0,orats
AMP,1,1,both
AMPD,0,1,polygon
AMPE,1,1,both
AMPG,1,1,both
AMPGW,0,1,polygon
AMPH,1,1,both
AMPL,1,1,both
AMPS,1,1,both
AMPX,1,1,both
AMPX.WS,0,1,polygon
AMPY,1,1,both
AMR,1,1,both
AMRC,1,1,both
AMRE,1,0,orats
AMRI,1,0,orats
AMRK,1,1,both
AMRN,1,1,both
AMRS,1,0,orats
AMRX,1,1,both
AMRZ,1,0,orats
AMS,0,1,polygon
AMSC,1,1,both
AMSF,1,1,both
AMSG,1,0,orats
AMST,0,1,polygon
AMSWA,1,1,both
AMT,1,1,both
AMTB,1,1,both
AMTD,1,1,both
AMTG,1,0,orats
AMTI,1,0,orats
AMTM,1,0,orats
AMTX,1,1,both
AMUB,0,1,polygon
AMWD,1,1,both
AMWL,1,1,both
AMX,1,1,both
AMYT,1,0,orats
AMYY,1,0,orats
AMZA,1,1,both
AMZD,1,1,both
AMZG,1,0,orats
AMZGQ,1,0,orats
AMZN,1,1,both
AMZO,1,0,orats
AMZP,1,1,both
AMZU,1,1,both
AMZW,1,0,orats
AMZY,1,1,both
AMZZ,1,0,orats
AN,1,1,both
ANAB,1,1,both
ANAC,1,0,orats
ANAD,1,0,orats
ANAT,1,0,orats
ANDE,1,1,both
ANDS,1,0,orats
ANDV,1,0,orats
ANDW,1,0,orats
ANDX,1,0,orats
ANEB,0,1,polygon
ANEN,1,0,orats
ANET,1,1,both
ANEW,1,1,both
ANF,1,1,both
ANFI,1,0,orats
ANGH,0,1,polygon
ANGHW,0,1,polygon
ANGI,1,1,both
ANGL,1,1,both
ANGO,1,1,both
ANGX,1,0,orats
ANH,1,0,orats
ANIK,1,1,both
ANIP,1,1,both
ANIX,1,1,both
ANL,0,1,polygon
ANN,1,0,orats
ANNX,1,1,both
ANPC,1,0,orats
ANPI,1,0,orats
ANR,1,0,orats
ANRO,1,0,orats
ANRZ,1,0,orats
ANRZQ,1,0,orats
ANSC,0,1,polygon
ANSCU,0,1,polygon
ANSCW,0,1,polygon
ANSS,1,1,both
ANST,1,0,orats
ANTE,1,1,both
ANTH,1,0,orats
ANTM,1,0,orats
ANTP,1,0,orats
ANTX,0,1,polygon
ANV,1,0,orats
ANVGQ,1,0,orats
ANVS,1,1,both
ANW,1,0,orats
ANWWQ,1,0,orats
ANX,1,0,orats
ANY,1,1,both
AOA,1,1,both
AOB,1,0,orats
AOBC,1,0,orats
AOBI,1,0,orats
AOC,1,0,orats
AOD,0,1,polygon
AOGO,0,1,polygon
AOGOW,0,1,polygon
AOI,1,0,orats
AOK,0,1,polygon
AOL,1,0,orats
AOM,1,1,both
AOMR,0,1,polygon
AON,1,1,both
AONC,0,1,polygon
AONCW,0,1,polygon
AONE,1,0,orats
AONEQ,1,0,orats
AOR,1,1,both
AORT,1,1,both
AOS,1,1,both
AOSL,1,1,both
AOTG,0,1,polygon
AOUT,1,1,both
AP,1,1,both
AP.WS,0,1,polygon
APA,1,1,both
APAC,1,1,both
APACU,0,1,polygon
APACW,0,1,polygon
APAGF,1,0,orats
APAM,1,1,both
APC,1,0,orats
APCA,0,1,polygon
APCA.WS,0,1,polygon
APCB,0,1,polygon
APCC,1,0,orats
APCX,0,1,polygon
APCXW,0,1,polygon
APD,1,1,both
APDN,1,1,both
APEI,1,1,both
APEN,1,0,orats
APEX,1,0,orats
APFH,1,0,orats
APG,1,1,both
APGE,1,1,both
APGN,1,0,orats
APH,1,1,both
APHA,1,0,orats
APHU,1,0,orats
API,1,1,both
APIC,1,0,orats
APIE,0,1,polygon
APKT,1,0,orats
APL,1,0,orats
APLD,1,1,both
APLE,1,1,both
APLM,0,1,polygon
APLMW,0,1,polygon
APLP,1,0,orats
APLS,1,1,both
APLT,1,1,both
APLX,1,0,orats
APLY,1,1,both
APLZ,1,0,orats
APM,0,1,polygon
APMU,0,1,polygon
APO,1,1,both
APOG,1,1,both
APOL,1,0,orats
APOS,0,1,polygon
APOpA,0,1,polygon
APP,1,1,both
APPB,1,0,orats
APPCQ,1,0,orats
APPF,1,1,both
APPH,1,0,orats
APPN,1,1,both
APPS,1,1,both
APPX,1,0,orats
APPY,1,0,orats
APPYD,1,0,orats
APQ,1,0,orats
APR,1,0,orats
APRD,0,1,polygon
APRE,1,1,both
APRH,0,1,polygon
APRI,1,0,orats
APRJ,0,1,polygon
APRN,1,0,orats
APRQ,0,1,polygon
APRT,0,1,polygon
APRW,0,1,polygon
APSG,1,0,orats
APT,1,1,both
APTI,1,0,orats
APTM,0,1,polygon
APTMW,0,1,polygon
APTO,1,1,both
APTS,1,0,orats
APTV,1,1,both
APTX,1,0,orats
APU,1,0,orats
APUE,0,1,polygon
APVO,1,1,both
APWC,0,1,polygon
APWR,1,0,orats
APXI,0,1,polygon
APXSQ,1,0,orats
APXT,1,0,orats
APY,1,0,orats
APYX,1,1,both
AQB,1,1,both
AQGX,1,0,orats
AQMS,1,1,both
AQN,1,1,both
AQNB,0,1,polygon
AQNT,1,0,orats
AQNU,0,1,polygon
AQST,1,1,both
AQU,0,1,polygon
AQUA,1,0,orats
AQWA,1,1,both
AQXP,1,0,orats
AR,1,1,both
ARA,1,0,orats
ARAV,1,1,both
ARAY,1,1,both
ARB,1,1,both
ARBA,1,0,orats
ARBB,0,1,polygon
ARBE,1,1,both
ARBEW,0,1,polygon
ARBK,1,1,both
ARBKL,0,1,polygon
ARC,1,1,both
ARCB,1,1,both
ARCC,1,1,both
ARCE,1,0,orats
ARCH,1,1,both
ARCM,0,1,polygon
ARCO,1,1,both
ARCP,1,0,orats
ARCT,1,1,both
ARCW,1,0,orats
ARCX,1,0,orats
ARD,1,0,orats
ARDC,0,1,polygon
ARDI,1,0,orats
ARDM,1,0,orats
ARDS,1,0,orats
ARDT,1,0,orats
ARDX,1,1,both
ARE,1,1,both
AREB,0,1,polygon
AREBW,0,1,polygon
AREC,1,1,both
AREN,1,1,both
ARES,1,1,both
AREX,1,0,orats
ARG,1,0,orats
ARGD,0,1,polygon
ARGN,1,0,orats
ARGO,1,0,orats
ARGOpA,0,1,polygon
ARGS,1,0,orats
ARGT,1,1,both
ARGX,1,1,both
ARHS,1,1,both
ARI,1,1,both
ARIA,1,0,orats
ARII,1,0,orats
ARIS,1,1,both
ARIZ,0,1,polygon
ARIZR,0,1,polygon
ARIZW,0,1,polygon
ARJ,1,0,orats
ARKA,1,1,both
ARKB,1,0,orats
ARKC,1,1,both
ARKD,1,1,both
ARKF,1,1,both
ARKG,1,1,both
ARKK,1,1,both
ARKO,1,1,both
ARKOW,0,1,polygon
ARKQ,1,1,both
ARKR,0,1,polygon
ARKW,1,1,both
ARKX,1,1,both
ARKY,1,1,both
ARKZ,1,1,both
ARL,0,1,polygon
ARLO,1,1,both
ARLP,1,1,both
ARLZ,1,0,orats
ARLZQ,1,0,orats
ARM,1,1,both
ARMG,1,0,orats
ARMH,1,0,orats
ARMHY,1,0,orats
ARMK,1,1,both
ARMN,1,1,both
ARMP,1,1,both
ARMU,1,0,orats
ARMW,1,0,orats
ARNA,1,0,orats
ARNC,1,0,orats
ARO,1,0,orats
AROC,1,1,both
AROP,1,0,orats
AROPQ,1,0,orats
AROW,1,1,both
ARP,1,1,both
ARPI,1,0,orats
ARPJ,1,0,orats
ARQ,1,0,orats
ARQL,1,0,orats
ARQQ,1,1,both
ARQQW,0,1,polygon
ARQT,1,1,both
ARR,1,1,both
ARRO,1,0,orats
ARRS,1,0,orats
ARRW,0,1,polygon
ARRWW,0,1,polygon
ARRY,1,1,both
ARRpC,0,1,polygon
ARSD,1,0,orats
ARST,1,0,orats
ART,1,0,orats
ARTC,1,0,orats
ARTG,1,0,orats
ARTL,0,1,polygon
ARTLW,0,1,polygon
ARTNA,1,1,both
ARTW,0,1,polygon
ARTX,1,0,orats
ARTY,1,0,orats
ARUN,1,0,orats
ARVL,1,1,both
ARVN,1,1,both
ARVR,1,1,both
ARW,1,1,both
ARWR,1,1,both
ARX,1,0,orats
ARXS,1,0,orats
ARXT,1,0,orats
ARXX,1,0,orats
ARYA,1,0,orats
ARYD,0,1,polygon
AS,1,0,orats
ASA,1,1,both
ASAI,1,1,both
ASAN,1,1,both
ASAP,1,0,orats
ASB,1,1,both
ASBA,0,1,polygon
ASBC,1,0,orats
ASBpE,0,1,polygon
ASBpF,0,1,polygon
ASC,1,1,both
ASCA,1,1,both
ASCAR,0,1,polygon
ASCAW,0,1,polygon
ASCB,0,1,polygon
ASCBR,0,1,polygon
ASCBW,0,1,polygon
ASCMA,1,0,orats
ASD,1,0,orats
ASEA,1,1,both
ASEI,1,0,orats
ASET,0,1,polygon
ASF,1,0,orats
ASFI,1,0,orats
ASG,0,1,polygon
ASGI,0,1,polygon
ASGN,1,1,both
ASH,1,1,both
ASHR,1,1,both
ASHS,1,1,both
ASHX,1,1,both
ASIA,1,1,both
ASIX,1,1,both
ASLE,1,1,both
ASLN,1,1,both
ASM,1,1,both
ASMB,1,1,both
ASMG,1,0,orats
ASMH,1,0,orats
ASMI,1,0,orats
ASMIY,1,0,orats
ASML,1,1,both
ASMLD,1,0,orats
ASN,1,0,orats
ASNA,1,0,orats
ASND,1,1,both
ASNS,0,1,polygon
ASO,1,1,both
ASPI,1,1,both
ASPL,1,0,orats
ASPM,1,0,orats
ASPN,1,1,both
ASPS,1,1,both
ASPU,1,0,orats
ASPV,1,0,orats
ASPX,1,0,orats
ASPY,1,0,orats
ASR,1,1,both
ASRT,1,1,both
ASRV,1,1,both
ASST,1,1,both
AST,1,0,orats
ASTC,1,1,both
ASTE,1,1,both
ASTH,1,0,orats
ASTI,1,1,both
ASTID,1,0,orats
ASTL,1,1,both
ASTLW,0,1,polygon
ASTM,1,0,orats
ASTR,1,1,both
ASTS,1,1,both
ASTSF,1,0,orats
ASTSW,0,1,polygon
ASTX,1,0,orats
ASUR,1,1,both
ASVI,1,0,orats
ASX,1,1,both
ASXC,1,1,both
ASYS,1,1,both
ASYT,1,0,orats
ASYTQ,1,0,orats
AT,1,0,orats
ATAC,1,0,orats
ATAI,1,1,both
ATAK,0,1,polygon
ATAKR,0,1,polygon
ATAT,1,1,both
ATAX,1,0,orats
ATC,1,0,orats
ATCO,1,0,orats
ATCOL,0,1,polygon
ATCOpD,0,1,polygon
ATCOpH,0,1,polygon
ATCX,1,0,orats
ATEC,1,1,both
ATEK,0,1,polygon
ATEN,1,1,both
ATER,1,1,both
ATEX,1,1,both
ATFV,0,1,polygon
ATG,1,0,orats
ATGE,1,1,both
ATGL,0,1,polygon
ATH,1,0,orats
ATHA,1,1,both
ATHE,0,1,polygon
ATHL,1,0,orats
ATHM,1,1,both
ATHN,1,0,orats
ATHR,1,0,orats
ATHX,1,0,orats
ATHpA,0,1,polygon
ATHpB,0,1,polygon
ATHpC,0,1,polygon
ATHpD,0,1,polygon
ATHpE,0,1,polygon
ATI,1,1,both
ATIF,0,1,polygon
ATIP,1,1,both
ATK,1,0,orats
ATKR,1,1,both
ATLC,1,1,both
ATLCL,0,1,polygon
ATLCP,0,1,polygon
ATLO,1,1,both
ATLS,1,0,orats
ATLX,1,1,both
ATMC,0,1,polygon
ATMCR,0,1,polygon
ATMI,1,0,orats
ATML,1,0,orats
ATMP,1,1,both
ATMR,1,0,orats
ATMU,1,1,both
ATN,1,0,orats
ATNF,1,1,both
ATNFW,0,1,polygon
ATNI,1,1,both
ATNM,1,1,both
ATNX,1,0,orats
ATO,1,1,both
