ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
EEM,emerging_markets,xsec,2010-12-16,2011-01-21,36,22,11,44.0,42.0,2.0,0.30999999999999994,1.69,169.0,NaN,0.002753342461320266,0.5322971278493429,1.821425331454228,1.0,236.68639053254438,237.0,46.33,46.48,false,2011-01-21,expiry,7346.999999999998,308.1,7038.899999999998,0.003519449999999999
XLF,us_cyclicals_sector,xsec,2010-12-16,2011-01-21,36,22,11,15.0,14.0,1.0,0.15,0.85,85.0,NaN,0.0026170353262150096,0.49867066492393597,0.9912416519758231,1.0,470.5882352941176,471.0,15.5,16.46,false,2011-01-21,expiry,7065.0,612.3000000000001,6452.7,0.00322635
EEM,emerging_markets,xsec,2010-12-23,2011-01-21,29,22,11,45.0,42.0,3.0,0.37,2.63,263.0,NaN,0.001516355546565205,0.506306290164808,2.0121618786299797,1.0,152.0912547528517,152.0,46.61,46.48,false,2011-01-21,expiry,5624.0,197.6,5426.4,0.0027132
SPY,us_large_cap_equity,xsec,2010-12-23,2011-01-21,29,22,11,122.0,118.0,4.0,0.48000000000000004,3.52,352.0,NaN,0.0007404700348104682,0.4838890362115682,0.8437159804950538,1.0,113.63636363636364,114.0,125.6,128.37,false,2011-01-21,expiry,5472.000000000001,148.20000000000002,5323.800000000001,0.0026619000000000005
SPY,us_large_cap_equity,xsec,2011-01-07,2011-02-19,43,22,12,122.0,116.0,6.0,0.69,5.3100000000000005,531.0,NaN,0.0009628505227540373,0.5192397646310345,0.947214194256537,1.0,75.32956685499059,75.0,127.14,134.7,false,2011-02-19,expiry,5175.0,97.5,5077.5,0.00253875
XLI,us_industrial_sector,xsec,2011-01-07,2011-02-19,43,22,12,34.0,32.0,2.0,0.28,1.72,172.0,NaN,0.0014456199665761193,0.496000202751267,0.9008790984337651,1.0,232.5581395348837,233.0,35.26,38.04,false,2011-02-19,expiry,6524.000000000001,302.90000000000003,6221.100000000001,0.0031105500000000006
SPY,us_large_cap_equity,xsec,2011-01-14,2011-02-19,36,22,12,126.0,120.0,6.0,0.7400000000000001,5.26,526.0,NaN,0.00088171715333535,0.5080092751375951,0.9426884296850482,1.0,76.04562737642586,76.0,129.3,134.7,false,2011-02-19,expiry,5624.000000000001,98.8,5525.200000000001,0.0027626000000000005
XLF,us_cyclicals_sector,xsec,2011-01-14,2011-02-19,36,22,12,16.0,15.0,1.0,0.10999999999999999,0.89,89.0,NaN,0.0028472475146913293,0.5484969949564644,0.9514620444198191,1.0,449.438202247191,449.0,16.72,17.21,false,2011-02-19,expiry,4938.999999999999,583.7,4355.299999999999,0.0021776499999999997
EEM,emerging_markets,xsec,2011-01-24,2011-02-19,26,22,12,45.0,42.0,3.0,0.31999999999999995,2.68,268.0,NaN,0.0025833825784913355,0.5627658997337173,1.9272334180745496,1.0,149.2537313432836,149.0,46.84,46.31,false,2011-02-19,expiry,4767.999999999999,193.70000000000002,4574.299999999999,0.0022871499999999995
XLF,us_cyclicals_sector,xsec,2011-01-24,2011-02-19,26,22,12,16.0,15.0,1.0,0.12,0.88,88.0,NaN,0.0023648989337030687,0.5154076217941516,1.078902260409685,1.0,454.54545454545456,455.0,16.44,17.21,false,2011-02-19,expiry,5460.0,591.5,4868.5,0.00243425
