ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
XOP,oil_and_energy,xsec,2013-11-15,2013-12-21,36,22,46,66.0,62.0,4.0,0.7150000000000001,3.285,328.5,NaN,0.001911869422822515,0.326267674488834,0.6086820489700373,1.0,121.76560121765601,122.0,69.32,67.73,false,2013-12-21,expiry,8723.000000000002,158.6,8564.400000000001,0.004282200000000001
KRE,us_cyclicals_sector,xsec,2013-11-22,2014-01-18,57,22,46,37.0,35.0,2.0,0.225,1.775,177.5,NaN,0.0009474757738297899,0.3618880093249039,0.8771941969848075,1.0,225.35211267605635,225.0,39.41,40.06,false,2014-01-18,expiry,5062.5,292.5,4770.0,0.002385
SPY,us_large_cap_equity,xsec,2013-11-22,2013-12-31,39,22,46,175.0,170.0,5.0,0.5750000000000001,4.425,442.5,NaN,0.0003216579921833198,0.3394225383876647,0.7516946211092104,1.0,90.3954802259887,90.0,180.64,184.88,false,2013-12-31,expiry,5175.000000000001,117.0,5058.000000000001,0.0025290000000000004
EEM,emerging_markets,xsec,2013-12-02,2014-01-18,47,22,47,39.0,36.5,2.5,0.325,2.175,217.49999999999997,NaN,0.001746153274220584,0.4718205524423428,1.4883135769335158,1.0,53.5,54.0,41.46,39.79,false,2014-01-18,expiry,1755.0,70.2,1684.8,0.0008424
SPY,us_large_cap_equity,xsec,2013-12-02,2014-01-18,47,22,47,174.0,167.0,7.0,0.8149999999999998,6.1850000000000005,618.5,NaN,0.0005189800729216543,0.47860416235543995,0.8052192600695284,1.0,64.6725949878739,65.0,180.52,183.82,false,2014-01-18,expiry,5297.499999999999,84.5,5212.999999999999,0.0026064999999999994
EEM,emerging_markets,xsec,2013-12-09,2014-01-18,40,22,47,39.5,37.5,2.0,0.25,1.75,175.0,NaN,0.0015356222318899373,0.43376830337338956,1.4999229392332758,1.0,228.57142857142858,229.0,42.07,39.79,false,2014-01-18,expiry,5725.0,297.7,5427.3,0.00271365
IBB,us_healthcare_sector,xsec,2013-12-09,2014-01-18,40,22,47,210.0,194.0,16.0,2.25,13.75,1375.0,NaN,0.0020413536312219815,0.3994588856241514,0.6456954604106372,1.0,4.25,4.0,221.49,247.425,false,2014-01-18,expiry,900.0,5.2,894.8,0.0004474
DIA,us_large_cap_equity,xsec,2013-12-31,2014-02-22,53,22,47,160.0,155.0,5.0,0.615,4.385,438.5,NaN,0.00044748606193951285,0.46566133120079944,0.7898901629549662,1.0,91.22006841505132,91.0,165.57,160.77,false,2014-02-22,expiry,5596.5,118.3,5478.2,0.0027391
SPY,us_large_cap_equity,xsec,2013-12-31,2014-02-22,53,22,47,179.0,172.0,7.0,0.8400000000000001,6.16,616.0,NaN,0.0006082830771577986,0.5574196911876612,0.8632483765837952,1.0,64.93506493506493,65.0,184.88,183.94,false,2014-02-22,expiry,5460.000000000001,84.5,5375.500000000001,0.0026877500000000005
EEM,emerging_markets,xsec,2014-01-08,2014-02-22,45,22,48,38.0,36.0,2.0,0.28,1.72,172.0,NaN,0.0016427844779742136,0.40881347318898675,1.5227413469806577,1.0,232.5581395348837,233.0,39.79,39.44,false,2014-02-22,expiry,6524.000000000001,302.90000000000003,6221.100000000001,0.0031105500000000006
QQQ,us_large_cap_equity,xsec,2014-01-08,2014-02-22,45,22,48,85.0,81.0,4.0,0.515,3.485,348.5,NaN,0.000648533472336994,0.4181089794512957,1.4632531455610356,1.0,114.77761836441894,115.0,87.42,89.92,false,2014-02-22,expiry,5922.5,149.5,5773.0,0.0028865
KRE,us_cyclicals_sector,xsec,2014-01-15,2014-02-22,38,22,48,39.0,37.0,2.0,0.255,1.745,174.5,NaN,0.0008657438916771217,0.3358020833447234,0.8757803922123995,1.0,33.0,33.0,40.25,38.15,true,2014-02-22,expiry,-1963.5000000000048,42.9,-2006.4000000000049,-0.0010032000000000025
QQQ,us_large_cap_equity,xsec,2014-01-15,2014-02-22,38,22,48,86.0,83.0,3.0,0.405,2.5949999999999998,259.5,NaN,0.0004421608713243841,0.32497076532434976,1.5647896367545082,1.0,154.14258188824664,154.0,88.26,89.92,false,2014-02-22,expiry,6237.0,200.20000000000002,6036.8,0.0030184
IBB,us_healthcare_sector,xsec,2014-01-23,2014-03-22,58,22,48,235.0,220.0,15.0,2.1249999999999996,12.875,1287.5,NaN,0.001407507965594656,0.2965982242741042,0.6431810661364571,1.0,31.0,31.0,252.735,246.01,false,2014-03-22,expiry,6587.499999999998,40.300000000000004,6547.199999999998,0.003273599999999999
KRE,us_cyclicals_sector,xsec,2014-01-30,2014-03-22,51,22,48,37.0,35.0,2.0,0.29000000000000004,1.71,171.0,NaN,0.0014812777879956917,0.40596327559182577,0.8693072420127947,1.0,22.75,23.0,39.0,42.02,false,2014-03-22,expiry,667.0000000000001,29.900000000000002,637.1000000000001,0.00031855000000000007
QQQ,us_large_cap_equity,xsec,2014-01-30,2014-03-22,51,22,48,82.0,77.0,5.0,0.595,4.405,440.5,NaN,0.0009141423994145999,0.39123643373254074,1.535730163374436,1.0,90.80590238365494,91.0,85.92,88.95,false,2014-03-22,expiry,5414.5,118.3,5296.2,0.0026481
IBB,us_healthcare_sector,xsec,2014-02-06,2014-03-22,44,22,49,220.0,198.0,22.0,3.150000000000001,18.849999999999998,1884.9999999999998,NaN,0.004194334845828133,0.4627757321288388,0.6447221741439986,1.0,21.220159151193638,21.0,236.79,246.01,false,2014-03-22,expiry,6615.000000000001,27.3,6587.700000000001,0.0032938500000000005
QQQ,us_large_cap_equity,xsec,2014-02-06,2014-03-22,44,22,49,82.0,78.0,4.0,0.5499999999999999,3.45,345.0,NaN,0.001210146141161555,0.47796632423052426,1.4129255498329565,1.0,115.94202898550725,116.0,85.58,88.95,false,2014-03-22,expiry,6379.999999999999,150.8,6229.199999999999,0.0031145999999999995
IBB,us_healthcare_sector,xsec,2014-02-13,2014-03-22,37,22,49,245.0,225.0,20.0,2.6,17.4,1739.9999999999998,NaN,0.0012533810371130986,0.2106681261543083,0.6419546992055226,1.0,22.98850574712644,23.0,260.03,246.01,false,2014-03-22,expiry,5980.0,29.900000000000002,5950.1,0.0029750500000000004
QQQ,us_large_cap_equity,xsec,2014-02-13,2014-03-31,46,22,49,86.0,83.0,3.0,0.39,2.61,261.0,NaN,0.000301951198176738,0.19800155190760615,1.4730409336191443,1.0,153.25670498084293,153.0,89.6,87.53,false,2014-03-31,expiry,5967.0,198.9,5768.1,0.00288405
EEM,emerging_markets,xsec,2014-03-07,2014-04-19,43,22,50,37.5,34.0,3.5,0.4050000000000001,3.0949999999999998,309.5,NaN,0.001384580222561683,0.3364418287134261,1.5291631592759787,1.0,129.24071082390952,129.0,39.52,41.99,false,2014-04-19,expiry,5224.500000000001,167.70000000000002,5056.800000000001,0.0025284000000000005
IBB,us_healthcare_sector,xsec,2014-03-07,2014-04-19,43,22,50,240.0,220.0,20.0,2.7500000000000004,17.25,1725.0,NaN,0.0026069458519756266,0.3130090751706745,0.6403490775209125,1.0,23.18840579710145,23.0,259.4,222.16,true,2014-04-19,expiry,-34707.00000000001,29.900000000000002,-34736.90000000001,-0.017368450000000004
GDX,precious_metals,xsec,2014-03-14,2014-04-25,42,22,50,25.5,24.0,1.5,0.27999999999999997,1.22,122.0,NaN,0.004484767902614828,0.3824489969266517,1.3252250096329954,1.0,15.25,15.0,27.73,24.46,true,2014-04-25,expiry,-1139.9999999999986,19.5,-1159.4999999999986,-0.0005797499999999993
QQQ,us_large_cap_equity,xsec,2014-03-14,2014-04-25,42,22,50,85.0,81.0,4.0,0.5149999999999999,3.4850000000000003,348.50000000000006,NaN,0.0009943590317320387,0.43452481911762975,1.3947352444072343,1.0,12.75,13.0,88.65,86.33,false,2014-04-25,expiry,669.4999999999999,16.900000000000002,652.5999999999999,0.00032629999999999996
EWZ,latam_equity,xsec,2014-03-21,2014-05-02,42,22,50,39.0,36.0,3.0,0.41500000000000004,2.585,258.5,NaN,0.0008636457858747964,0.14538658585470463,0.7799224652462229,1.0,22.5,23.0,41.67,48.48,false,2014-05-02,expiry,954.5,29.900000000000002,924.6,0.0004623
GDX,precious_metals,xsec,2014-03-21,2014-05-02,42,22,50,23.5,22.0,1.5,0.265,1.2349999999999999,123.49999999999999,NaN,0.0031082290985189687,0.3011641696605301,1.3480649071681536,1.0,107.25,107.0,25.52,24.32,false,2014-05-02,expiry,2835.5,139.1,2696.4,0.0013482000000000001
GDX,precious_metals,xsec,2014-04-04,2014-05-17,43,22,51,22.5,21.0,1.5,0.295,1.205,120.5,NaN,0.0029527512371874893,0.2846553316875672,1.3425837460540726,1.0,315.0,315.0,24.26,23.42,false,2014-05-17,expiry,9292.5,409.5,8883.0,0.0044415
QQQ,us_large_cap_equity,xsec,2014-04-04,2014-05-17,43,22,51,83.0,79.0,4.0,0.53,3.4699999999999998,347.0,NaN,0.0007843908649073248,0.3099670155770116,1.486648600537382,1.0,115.27377521613833,115.0,86.55,87.64,false,2014-05-17,expiry,6095.0,149.5,5945.5,0.00297275
IBB,us_healthcare_sector,xsec,2014-04-11,2014-05-17,36,22,51,200.0,180.0,20.0,3.275000000000001,16.724999999999998,1672.4999999999998,NaN,0.00354193590140286,0.27354473134534957,0.6482943792498905,1.0,23.91629297458894,24.0,215.45,228.3,false,2014-05-17,expiry,7860.000000000002,31.200000000000003,7828.800000000002,0.003914400000000001
TLT,us_rates_and_ig_credit,xsec,2014-04-11,2014-05-23,42,22,51,108.0,105.0,3.0,0.4749999999999999,2.525,252.5,NaN,0.0002396492852888276,0.22291501522468693,0.4318930234458218,1.0,18.75,19.0,110.73,112.7,false,2014-05-23,expiry,902.4999999999999,24.7,877.7999999999998,0.00043889999999999993
QQQ,us_large_cap_equity,xsec,2014-04-21,2014-05-30,39,22,51,83.5,79.0,4.5,0.5549999999999999,3.9450000000000003,394.5,NaN,0.0007422069989348335,0.2944467712601966,1.4491409941163467,1.0,13.0,13.0,86.84,91.21,false,2014-05-30,expiry,721.4999999999999,16.900000000000002,704.5999999999999,0.00035229999999999994
TLT,us_rates_and_ig_credit,xsec,2014-04-21,2014-05-30,39,22,51,107.0,105.0,2.0,0.31,1.69,169.0,NaN,0.0002864639831715245,0.2866572418639855,0.43406395914530127,1.0,23.75,24.0,109.96,114.1,false,2014-05-30,expiry,744.0,31.200000000000003,712.8,0.0003564
KRE,us_cyclicals_sector,xsec,2014-04-28,2014-06-21,54,22,51,36.0,34.0,2.0,0.245,1.755,175.5,NaN,0.00012321847011286576,0.05,0.8671349014555744,1.0,35.25,35.0,38.49,40.43,false,2014-06-21,expiry,857.5,45.5,812.0,0.000406
