ticker,side,entry_date,expiry,strike,contracts,entry_straddle,pnl,hedge_cost
QQQ,1,2018-09-07,2018-10-05,181.5,24.935775416836396,6.779999999999999,3370.6944001929096,131.24305968547412
SPY,-1,2018-09-07,2018-10-08,288.0,15.2218201260044,6.84,-6110.594638936482,112.0357738899693
GLD,-1,2018-09-14,2018-10-12,113.0,40.15543365258242,2.42,7388.436442226965,248.88327894975873
QQQ,1,2018-09-14,2018-10-12,184.0,24.60425531579857,5.58,-3625.527115242563,152.62599600485947
SPY,-1,2018-09-14,2018-10-15,290.0,14.81833301636919,5.49,5119.911374226398,147.3746631963316
XLF,1,2018-09-14,2018-10-12,28.0,164.01347534713452,0.8200000000000001,-11782.00857423284,182.25000206853795
EEM,1,2018-09-21,2018-10-19,43.0,106.52649484369155,1.68,-811.4817696724433,111.79060063366221
GLD,-1,2018-09-21,2018-10-19,113.0,40.78848713951238,2.43,4493.713777745666,210.6149493982108
HYG,1,2018-09-21,2018-10-19,86.0,52.47552777524437,0.69,-1168.3752818976952,141.20102189971695
IWM,-1,2018-09-21,2018-10-19,171.0,26.70194884173621,4.28,1626.501734444825,99.72352052538756
QQQ,1,2018-09-21,2018-10-19,184.0,24.84668847808368,5.67,-4995.97139084554,119.07300197441725
XLE,-1,2018-09-21,2018-10-19,75.0,60.531559096840084,2.42,6974.5380538112195,175.42698194961017
GLD,-1,2018-09-28,2018-10-26,113.0,40.01994914424942,2.34,4230.258657987833,147.5673207060255
IWM,-1,2018-09-28,2018-10-26,168.5,26.88080417043849,4.48,4787.872904262273,99.88624416243016
QQQ,1,2018-09-28,2018-10-26,185.5,24.458508195361258,5.9,-7266.4169716018005,101.78038883500409
XLE,-1,2018-09-28,2018-10-26,76.0,59.64199297298039,2.5,8571.624467292859,134.48768947491783
XLF,1,2018-09-28,2018-10-26,27.5,165.42690231839185,0.9400000000000001,-7132.101423949119,146.4917050524353
EEM,1,2018-10-05,2018-11-02,40.5,111.84661444771932,1.9699999999999998,-8065.639016844082,192.43746566577374
GLD,-1,2018-10-05,2018-11-02,114.0,39.706849097931865,2.54,3083.581426021462,122.50716662963343
QQQ,1,2018-10-05,2018-11-02,180.0,25.176490978231048,7.870000000000001,-10346.879078075164,148.9434798412089
SPY,-1,2018-10-05,2018-11-05,288.0,14.946676833595538,7.96,5701.905450979764,107.64027108399159
XLE,-1,2018-10-05,2018-11-02,77.0,58.845302173568925,2.9,7922.9994642447,99.3506464727243
EEM,1,2018-10-12,2018-11-09,40.0,113.22245835394926,2.1799999999999997,-3897.934570487696,220.27839312694394
GLD,-1,2018-10-12,2018-11-09,115.5,39.17164198748763,2.99,-2053.6911851074833,117.17153379149534
HYG,1,2018-10-12,2018-11-09,85.0,53.38727868704025,1.27,1892.1657509440547,136.73686179731263
XLF,-1,2018-10-12,2018-11-09,26.5,171.09769781203687,1.48,-7128.126160061212,169.76446158120962
GLD,-1,2018-10-19,2018-11-16,116.0,39.127650595088525,2.74,-2142.729211104404,174.97465228313362
HYG,1,2018-10-19,2018-11-16,85.0,55.48816825788237,1.1600000000000001,579.0736451564749,171.09071079788657
QQQ,1,2018-10-19,2018-11-16,173.0,26.18668361049843,9.3,-10265.844256883194,236.78463221378973
XLE,-1,2018-10-19,2018-11-16,72.0,62.92914530641711,3.33,4459.265329289605,117.72358662247194
XLF,-1,2018-10-19,2018-11-16,27.0,172.44536844504978,1.14,-4214.799569246981,159.64589455689992
XLK,1,2018-10-19,2018-11-16,70.0,64.71174219152527,3.71,-10144.70237148711,235.1857358453741
GLD,-1,2018-10-26,2018-11-23,117.0,38.68136465688354,3.02,-3045.726267560856,149.4532325180927
IWM,1,2018-10-26,2018-11-23,147.5,30.728920099092164,8.73,10318.814762959904,169.44110471205252
QQQ,1,2018-10-26,2018-11-23,166.5,27.218893744679043,10.620000000000001,-5632.412041075113,224.587137170105
TLT,-1,2018-10-26,2018-11-23,115.0,39.32628721623527,2.84,-6516.760547220571,94.9607435059322
XLF,-1,2018-10-26,2018-11-23,25.5,179.52476921193292,1.44,-7381.424574680673,122.60578662368124
HYG,1,2018-11-02,2018-11-30,84.5,54.375504400772705,1.03,-564.2369008456329,142.89990180577792
QQQ,1,2018-11-02,2018-11-30,169.5,26.73703855213589,9.22,642.4559963215362,148.527637937184
SPY,-1,2018-11-02,2018-12-03,272.0,15.837312537294892,10.93,3134.673412700775,179.51326543972473
XLE,-1,2018-11-02,2018-11-30,67.5,67.12962838648836,3.65,3410.7727235643756,183.14595103900552
XLF,-1,2018-11-02,2018-11-30,26.5,170.97220265540346,1.25,-5084.117147650237,179.8979298275369
EEM,1,2018-11-09,2018-12-07,40.0,113.3354579953859,2.04,3955.1226670576357,170.81558053141634
GLD,-1,2018-11-09,2018-12-07,114.5,39.54403825774978,2.5700000000000003,-2624.239300121938,150.10160730618816
QQQ,1,2018-11-09,2018-12-07,172.0,26.349012805251338,8.17,-10394.171349081538,178.5919788198203
XLE,-1,2018-11-09,2018-12-07,69.0,65.68875380945505,3.52,5786.276422651454,150.91991827478208
XLF,-1,2018-11-09,2018-12-07,27.0,169.9991602041486,1.16,9854.347309040804,195.09616130846314
