ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
QQQ,us_large_cap_equity,xsec,2017-10-31,2017-12-01,31,22,93,147.5,142.0,5.5,0.5599999999999999,4.94,494.00000000000006,NaN,0.0005480237587487641,0.36663411621666675,1.3275343417110033,1.0,80.97165991902833,81.0,152.09,154.58,false,2017-12-01,expiry,4535.999999999999,105.3,4430.699999999999,0.0022153499999999996
XOP,oil_and_energy,xsec,2017-10-31,2017-12-01,31,22,93,32.5,31.0,1.5,0.21999999999999997,1.28,128.0,NaN,0.002135117215250032,0.32147044264313857,0.5587090626603384,1.0,312.5,313.0,34.2475,36.34,false,2017-12-01,expiry,6885.999999999999,406.90000000000003,6479.099999999999,0.00323955
QQQ,us_large_cap_equity,xsec,2017-11-07,2017-12-08,31,22,94,150.0,144.0,6.0,0.63,5.37,537.0,NaN,0.00044262437641115807,0.38825549493082834,1.3030200750931464,1.0,74.487895716946,74.0,153.86,154.6,false,2017-12-08,expiry,4662.0,96.2,4565.8,0.0022829
USO,oil_and_energy,xsec,2017-11-07,2017-12-08,31,22,94,11.0,10.5,0.5,0.08000000000000002,0.42,42.0,NaN,0.002830883235565506,0.4254413075564828,0.45992488688091043,1.0,952.3809523809524,952.0,11.48,11.48,false,2017-12-08,expiry,7616.000000000002,1237.6000000000001,6378.4000000000015,0.0031892000000000005
XLB,us_materials_sector,xsec,2017-11-14,2017-12-15,31,22,94,56.0,54.0,2.0,0.2,1.8,180.0,NaN,0.0007825237930079255,0.4946527993270953,0.6788938819455582,1.0,222.22222222222223,222.0,57.855,59.015,false,2017-12-15,expiry,4440.0,288.6,4151.4,0.0020756999999999998
XLI,us_industrial_sector,xsec,2017-11-14,2017-12-15,31,22,94,69.0,67.0,2.0,0.27,1.73,173.0,NaN,0.0005424832318740168,0.4490168616829977,0.7591303481596234,1.0,231.21387283236993,231.0,70.635,74.43,false,2017-12-15,expiry,6237.0,300.3,5936.7,0.00296835
EWZ,latam_equity,xsec,2017-11-21,2017-12-22,31,22,94,38.0,35.0,3.0,0.41000000000000003,2.59,259.0,NaN,0.0033871495789607377,0.4100021528969227,0.7661907429435348,1.0,154.44015444015443,154.0,40.39,39.505,false,2017-12-22,expiry,6314.0,200.20000000000002,6113.8,0.0030569
XLU,us_utilities_sector,xsec,2017-11-21,2017-12-22,31,22,94,54.5,52.0,2.5,0.29000000000000004,2.21,221.0,NaN,0.0004316598377737068,0.35909922786275716,0.7027822560647183,1.0,180.99547511312218,181.0,55.8,52.46,true,2017-12-22,expiry,-31674.99999999999,235.3,-31910.29999999999,-0.015955149999999994
SPY,us_large_cap_equity,xsec,2017-11-29,2017-12-29,30,22,94,257.0,251.0,6.0,0.61,5.39,539.0,NaN,0.0002366901391439975,0.3921051453420338,0.8151019124940421,1.0,74.21150278293135,74.0,262.83,267.0,false,2017-12-29,expiry,4514.0,96.2,4417.8,0.0022089
XLE,oil_and_energy,xsec,2017-11-29,2017-12-29,30,22,94,66.0,63.0,3.0,0.38,2.62,262.0,NaN,0.0007076408123617372,0.37101798740331493,0.6163122851666322,1.0,152.67175572519085,153.0,68.08,72.28,false,2017-12-29,expiry,5814.0,198.9,5615.1,0.0028075500000000002
